player_name,player_url,year,team_name,team_url,age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Andy Moog,/players/m/moogan01.html,1994,DAL,/teams/DAL/1994.html,33,55,,24,20,7,170,1604,1434,.894,3.27,2,3121,,,,101,-1.70,0,1,1,16
Jason Muzzatti,/players/m/muzzaja01.html,1994,CGY,/teams/CGY/1994.html,23,1,,0,1,0,8,35,27,.771,8.00,0,60,,,,,,0,0,0,0
Mike O'Neill,/players/o/oneilmi01.html,1994,WIN,/teams/WIN/1994.html,26,17,,0,9,1,51,382,331,.866,4.15,0,738,,,,127,-10.92,0,0,0,0
Chris Osgood,/players/o/osgooch01.html,1994,DET,/teams/DET/1994.html,21,41,,23,8,5,105,999,894,.895,2.86,2,2206,,,,100,-0.18,0,0,0,2
Frank Pietrangelo,/players/p/pietrfr01.html,1994,HAR,/teams/HAR/1994.html,29,19,,5,11,1,59,473,414,.875,3.60,0,984,,,,119,-9.37,0,0,0,2
Felix Potvin,/players/p/potvife01.html,1994,TOR,/teams/TOR/1994.html,22,66,,34,22,9,187,2010,1823,.907,2.89,3,3883,,,,89,23.90,0,4,4,4
Daren Puppa,/players/p/puppada01.html,1994,TBL,/teams/TBL/1994.html,28,63,,22,33,6,165,1637,1472,.899,2.71,4,3653,,,,96,6.77,0,1,1,2
Andre Racicot,/players/r/racican01.html,1994,MTL,/teams/MTL/1994.html,24,11,,2,6,2,37,246,209,.850,4.44,0,500,,,,,,0,0,0,0
Bill Ranford,/players/r/ranfobi01.html,1994,EDM,/teams/EDM/1994.html,27,71,,22,34,11,236,2325,2089,.898,3.48,1,4070,,,,97,7.96,0,2,2,2
Pokey Reddick,/players/r/reddipo01.html,1994,FLA,/teams/FLA/1994.html,29,2,,0,1,0,8,45,37,.822,6.00,0,80,,,,,,0,0,0,0
Jeff Reese,/players/r/reeseje01.html,1994,,,27,20,,5,9,3,57,529,472,.892,3.11,1,1099,,,,103,-1.49,0,1,1,0
Damian Rhodes,/players/r/rhodeda01.html,1994,TOR,/teams/TOR/1994.html,24,22,,9,7,3,53,541,488,.902,2.62,0,1213,,,,93,3.77,0,0,0,2
Mike Richter,/players/r/richtmi01.html,1994,NYR,/teams/NYR/1994.html,27,68,,42,12,6,159,1758,1599,.910,2.57,5,3710,,,,86,25.46,0,0,0,2
Vincent Riendeau,/players/r/riendvi01.html,1994,,,27,26,,9,10,1,73,546,473,.866,3.32,1,1321,,,,127,-15.71,0,1,1,0
Roberto Romano,/players/r/romanro01.html,1994,PIT,/teams/PIT/1994.html,31,2,,1,0,1,3,56,53,.946,1.44,0,125,,,,,,0,0,0,0
Dominic Roussel,/players/r/roussdo01.html,1994,PHI,/teams/PHI/1994.html,23,60,,29,20,5,183,1762,1579,.896,3.34,1,3285,,,,99,1.88,0,1,1,4
Patrick Roy,/players/r/roypa01.html,1994,MTL,/teams/MTL/1994.html,28,68,,35,17,11,161,1956,1795,.918,2.50,7,3867,,,,78,44.24,0,1,1,30
Mikhail Shtalenkov,/players/s/shtalmi01.html,1994,MDA,/teams/MDA/1994.html,28,10,,3,4,1,24,265,241,.909,2.65,0,543,,,,,,0,0,0,0
Peter Sidorkiewicz,/players/s/sidorpe01.html,1994,NJD,/teams/NJD/1994.html,30,3,,0,3,0,6,55,49,.891,2.77,0,130,,,,,,0,0,0,0
Garth Snow,/players/s/snowga01.html,1994,QUE,/teams/QUE/1994.html,24,5,,3,2,0,16,127,111,.874,3.44,0,279,,,,,,0,0,0,2
