player_name,player_url,year,team_name,team_url,age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Art Brooks,/players/b/brookar01.html,1918,TRA,/teams/TRA/1918.html,28,4,,2,2,0,23,,,,6.27,0,220,,,,,,0,0,0,0
Sammy Hebert,/players/h/hebersa01.html,1918,TRA,/teams/TRA/1918.html,23,2,,1,0,0,10,,,,7.50,0,80,,,,,,0,0,0,0
Hap Holmes,/players/h/holmeha01.html,1918,TRA,/teams/TRA/1918.html,29,16,,9,7,0,76,,,,4.73,0,965,,,,,,0,0,0,0
Bert Lindsay,/players/l/lindsbe01.html,1918,MTW,/teams/MTW/1918.html,36,4,,1,3,0,35,,,,8.75,0,240,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1918,MTL,/teams/MTL/1918.html,31,21,,12,9,0,84,,,,3.93,1,1282,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1919,OTS,/teams/OTS/1919.html,26,18,,12,6,0,53,,,,2.76,2,1152,,,,,,0,0,0,3
Sprague Cleghorn,/players/c/cleghsp01.html,1919,OTS,/teams/OTS/1919.html,28,1,,0,0,0,0,,,,0.00,0,3,,,,,,7,6,13,27
Hap Holmes,/players/h/holmeha01.html,1919,TRA,/teams/TRA/1919.html,30,2,,0,2,0,9,,,,4.50,0,120,,,,,,0,0,0,0
Bert Lindsay,/players/l/lindsbe01.html,1919,TRA,/teams/TRA/1919.html,37,16,,5,11,0,83,,,,4.99,0,998,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1919,MTL,/teams/MTL/1919.html,32,18,,10,8,0,78,,,,4.19,1,1117,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1920,OTS,/teams/OTS/1920.html,27,24,,19,5,0,64,,,,2.66,5,1443,,,,,,0,0,0,0
Frank Brophy,/players/b/brophfr01.html,1920,QBC,/teams/QBC/1920.html,19,21,,3,18,0,148,,,,7.11,0,1249,,,,,,0,0,0,0
Jack Darragh,/players/d/darraja01.html,1920,OTS,/teams/OTS/1920.html,29,1,,0,0,0,0,,,,0.00,0,2,,,,,,22,14,36,22
Jake Forbes,/players/f/forbeja01.html,1920,TRS,/teams/TRS/1920.html,22,5,,2,3,0,21,,,,4.20,0,300,,,,,,0,0,0,0
Howard Lockhart,/players/l/lockhho01.html,1920,,,24,8,,4,3,0,36,,,,5.84,0,370,,,,,,0,0,0,0
Mike Mitchell,/players/m/mitchiv01.html,1920,TRS,/teams/TRS/1920.html,26,16,,6,7,0,60,,,,4.34,0,830,,,,,,0,0,0,0
Harry Mummery,/players/m/mummeha01.html,1920,QBC,/teams/QBC/1920.html,30,3,,1,1,0,18,,,,7.61,0,142,,,,,,9,9,18,42
Georges Vezina,/players/v/vezinge01.html,1920,MTL,/teams/MTL/1920.html,33,24,,13,11,0,113,,,,4.66,0,1456,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1921,OTS,/teams/OTS/1921.html,28,24,,14,10,0,75,,,,3.08,2,1462,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1921,TRS,/teams/TRS/1921.html,23,20,,13,7,0,78,,,,3.83,0,1221,,,,,,0,0,0,0
Howard Lockhart,/players/l/lockhho01.html,1921,HAM,/teams/HAM/1921.html,25,24,,6,18,0,132,,,,5.45,1,1454,,,,,,0,0,0,0
Mike Mitchell,/players/m/mitchiv01.html,1921,TRS,/teams/TRS/1921.html,27,4,,2,2,0,22,,,,5.50,0,240,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1921,MTL,/teams/MTL/1921.html,34,24,,13,11,0,99,,,,4.12,1,1441,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1922,OTS,/teams/OTS/1922.html,29,24,,14,8,2,84,,,,3.34,2,1510,,,,,,0,0,0,0
Sprague Cleghorn,/players/c/cleghsp01.html,1922,MTL,/teams/MTL/1922.html,31,1,,0,0,0,0,,,,0.00,0,2,,,,,,17,9,26,80
Howard Lockhart,/players/l/lockhho01.html,1922,HAM,/teams/HAM/1922.html,26,24,,6,17,0,103,,,,4.39,0,1409,,,,,,0,0,0,0
Mike Mitchell,/players/m/mitchiv01.html,1922,TRS,/teams/TRS/1922.html,28,2,,2,0,0,6,,,,3.00,0,120,,,,,,0,0,0,0
Harry Mummery,/players/m/mummeha01.html,1922,HAM,/teams/HAM/1922.html,32,1,,1,0,0,2,,,,2.40,0,50,,,,,,4,2,6,40
John Ross Roach,/players/r/roachjo01.html,1922,TRS,/teams/TRS/1922.html,21,22,,11,10,1,91,,,,4.07,0,1340,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1922,MTL,/teams/MTL/1922.html,35,24,,12,11,1,94,,,,3.84,0,1469,,,,,,0,0,0,2
Clint Benedict,/players/b/benedcl01.html,1923,OTS,/teams/OTS/1923.html,30,24,,14,9,1,54,,,,2.18,4,1486,,,,,,0,0,0,2
Jake Forbes,/players/f/forbeja01.html,1923,HAM,/teams/HAM/1923.html,25,24,,6,18,0,110,,,,4.49,0,1470,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1923,TRS,/teams/TRS/1923.html,22,24,,13,10,1,88,,,,3.59,1,1469,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1923,MTL,/teams/MTL/1923.html,36,24,,13,9,2,61,,,,2.46,2,1488,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1924,OTS,/teams/OTS/1924.html,31,22,,15,7,0,45,,,,1.99,3,1356,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1924,HAM,/teams/HAM/1924.html,26,24,,9,15,0,68,,,,2.75,1,1483,,,,,,0,0,0,0
Sammy Hebert,/players/h/hebersa01.html,1924,OTS,/teams/OTS/1924.html,29,2,,1,1,0,9,,,,4.50,0,120,,,,,,0,0,0,0
Howard Lockhart,/players/l/lockhho01.html,1924,TRS,/teams/TRS/1924.html,28,1,,0,1,0,5,,,,5.00,0,60,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1924,TRS,/teams/TRS/1924.html,23,23,,10,13,0,80,,,,3.48,1,1380,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1924,MTL,/teams/MTL/1924.html,37,24,,13,11,0,48,,,,1.97,3,1459,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1925,MTM,/teams/MTM/1925.html,32,30,,9,19,2,65,,,,2.12,2,1843,,,,,,0,0,0,2
King Clancy,/players/c/clancki01.html,1925,OTS,/teams/OTS/1925.html,21,1,,0,0,0,0,,,,0.00,0,2,,,,,,14,7,21,61
Alec Connell,/players/c/conneal01.html,1925,OTS,/teams/OTS/1925.html,22,30,,17,12,1,66,,,,2.14,7,1852,,,,,,0,0,0,2
Jake Forbes,/players/f/forbeja01.html,1925,HAM,/teams/HAM/1925.html,27,30,,19,10,1,60,,,,1.96,6,1833,,,,,,0,0,0,2
Hec Fowler,/players/f/fowlehe01.html,1925,BOS,/teams/BOS/1925.html,32,7,,1,6,0,42,,,,6.16,0,409,,,,,,0,0,0,0
Howard Lockhart,/players/l/lockhho01.html,1925,BOS,/teams/BOS/1925.html,29,2,,0,2,0,11,,,,5.50,0,120,,,,,,0,0,0,0
Dunc Munro,/players/m/munrodu01.html,1925,MTM,/teams/MTM/1925.html,24,1,,0,0,0,0,,,,0.00,0,2,,,,,,5,1,6,16
George Redding,/players/r/reddige01.html,1925,BOS,/teams/BOS/1925.html,21,1,,0,0,0,1,,,,5.45,0,11,,,,,,3,2,5,10
John Ross Roach,/players/r/roachjo01.html,1925,TRS,/teams/TRS/1925.html,24,30,,19,11,0,84,,,,2.80,1,1800,,,,,,0,0,0,0
Jesse Spring,/players/s/sprinje01.html,1925,HAM,/teams/HAM/1925.html,24,1,,0,0,0,0,,,,0.00,0,2,,,,,,2,1,3,11
Charles Stewart,/players/s/stewach01.html,1925,BOS,/teams/BOS/1925.html,29,21,,5,16,0,65,,,,3.08,2,1266,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1925,MTL,/teams/MTL/1925.html,38,30,,17,11,2,56,,,,1.81,5,1860,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1926,MTM,/teams/MTM/1926.html,33,36,,20,11,5,73,,,,1.91,6,2288,,,,,,0,0,0,0
Odie Cleghorn,/players/c/cleghod01.html,1926,PTP,/teams/PTP/1926.html,34,1,,1,0,0,2,,,,2.00,0,60,,,,,,2,1,3,4
Alec Connell,/players/c/conneal01.html,1926,OTS,/teams/OTS/1926.html,23,36,,24,8,4,42,,,,1.12,15,2251,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1926,NYA,/teams/NYA/1926.html,28,36,,12,20,4,86,,,,2.30,2,2240,,,,,,0,0,0,0
Joe Ironstone,/players/i/ironsjo01.html,1926,NYA,/teams/NYA/1926.html,27,1,,0,0,0,3,,,,4.50,0,40,,,,,,0,0,0,0
Frenchy Lacroix,/players/l/lacrofr01.html,1926,MTL,/teams/MTL/1926.html,28,5,,1,4,0,16,,,,3.43,0,280,,,,,,0,0,0,0
Herb Rheaume,/players/r/rheauhe01.html,1926,MTL,/teams/MTL/1926.html,26,31,,10,20,1,92,,,,2.92,0,1889,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1926,TRS,/teams/TRS/1926.html,25,36,,12,21,3,114,,,,3.07,2,2231,,,,,,0,0,0,0
Moe Roberts,/players/r/robermo01.html,1926,BOS,/teams/BOS/1926.html,20,2,,1,1,0,5,,,,3.53,0,85,,,,,,0,0,0,0
Charles Stewart,/players/s/stewach01.html,1926,BOS,/teams/BOS/1926.html,30,35,,16,14,4,80,,,,2.21,6,2173,,,,,,0,0,0,0
Georges Vezina,/players/v/vezinge01.html,1926,MTL,/teams/MTL/1926.html,39,1,,0,0,0,0,,,,0.00,0,20,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1926,PTP,/teams/PTP/1926.html,25,35,,18,16,1,68,,,,1.90,7,2145,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1927,MTM,/teams/MTM/1927.html,34,43,,20,19,4,65,,,,1.42,13,2748,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1927,NYR,/teams/NYR/1927.html,26,36,,22,9,5,56,,,,1.46,10,2307,,,,,,0,0,0,0
Alec Connell,/players/c/conneal01.html,1927,OTS,/teams/OTS/1927.html,24,44,,30,10,4,69,,,,1.49,13,2782,,,,,,0,0,0,2
Jake Forbes,/players/f/forbeja01.html,1927,NYA,/teams/NYA/1927.html,29,44,,17,25,2,91,,,,2.01,8,2715,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1927,MTL,/teams/MTL/1927.html,31,44,,28,14,2,67,,,,1.47,14,2732,,,,,,0,0,0,0
Hap Holmes,/players/h/holmeha01.html,1927,DTC,/teams/DTC/1927.html,38,41,,11,26,4,100,,,,2.23,6,2685,,,,,,0,0,0,0
Hugh Lehman,/players/l/lehmahu01.html,1927,CBH,/teams/CBH/1927.html,41,44,,19,22,3,116,,,,2.49,5,2797,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1927,TOR,/teams/TOR/1927.html,26,44,,15,24,5,94,,,,2.04,4,2764,,,,,,0,0,0,0
Charles Stewart,/players/s/stewach01.html,1927,BOS,/teams/BOS/1927.html,31,21,,9,11,1,49,,,,2.26,2,1303,,,,,,0,0,0,0
Herb Stuart,/players/s/stuarhe01.html,1927,DTC,/teams/DTC/1927.html,27,3,,1,2,0,5,,,,1.67,0,180,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1927,MTM,/teams/MTM/1927.html,29,1,,0,1,0,3,,,,3.00,0,60,,,,,,0,0,0,0
Hal Winkler,/players/w/winklha01.html,1927,,,34,31,,15,13,3,56,,,,1.72,6,1959,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1927,PTP,/teams/PTP/1927.html,26,44,,15,26,3,108,,,,2.39,4,2711,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1928,MTM,/teams/MTM/1928.html,35,44,,24,14,6,76,,,,1.70,6,2690,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1928,NYR,/teams/NYR/1928.html,27,44,,19,16,9,79,,,,1.74,11,2730,,,,,,0,0,0,0
Alec Connell,/players/c/conneal01.html,1928,OTS,/teams/OTS/1928.html,25,44,,20,14,10,57,,,,1.24,15,2760,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1928,NYA,/teams/NYA/1928.html,30,16,,3,11,2,51,,,,3.12,2,980,,,,,,0,0,0,0
Charlie Gardiner,/players/g/gardich01.html,1928,CBH,/teams/CBH/1928.html,23,40,,6,32,2,114,,,,2.83,3,2420,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1928,MTL,/teams/MTL/1928.html,32,44,,26,11,7,48,,,,1.05,13,2730,,,,,,0,0,0,0
Normie Himes,/players/h/himesno01.html,1928,NYA,/teams/NYA/1928.html,24,1,,0,0,0,0,,,,0.00,0,19,,,,,,14,5,19,22
Hap Holmes,/players/h/holmeha01.html,1928,DTC,/teams/DTC/1928.html,39,44,,19,19,6,79,,,,1.73,11,2740,,,,,,0,0,0,0
Joe Ironstone,/players/i/ironsjo01.html,1928,TOR,/teams/TOR/1928.html,29,1,,0,0,1,0,,,,0.00,1,70,,,,,,0,0,0,0
Hugh Lehman,/players/l/lehmahu01.html,1928,CBH,/teams/CBH/1928.html,42,4,,1,2,1,20,,,,4.80,1,250,,,,,,0,0,0,0
Joe Miller,/players/m/millejo01.html,1928,NYA,/teams/NYA/1928.html,27,28,,8,16,4,77,,,,2.68,5,1721,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1928,TOR,/teams/TOR/1928.html,27,43,,18,18,7,88,,,,1.96,4,2690,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1928,MTM,/teams/MTM/1928.html,30,1,,0,0,0,1,,,,1.50,0,40,,,,,,0,0,0,0
Hal Winkler,/players/w/winklha01.html,1928,BOS,/teams/BOS/1928.html,35,44,,20,13,11,70,,,,1.51,15,2780,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1928,PTP,/teams/PTP/1928.html,27,44,,19,17,8,76,,,,1.66,11,2740,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1929,MTM,/teams/MTM/1929.html,36,37,,14,16,7,57,,,,1.49,11,2300,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1929,TOR,/teams/TOR/1929.html,28,44,,20,17,5,65,,,,1.52,10,2562,,,,,,0,0,0,2
Alec Connell,/players/c/conneal01.html,1929,OTS,/teams/OTS/1929.html,26,44,,14,17,13,67,,,,1.43,7,2820,,,,,,0,0,0,0
Dolly Dolson,/players/d/dolsodo01.html,1929,DTC,/teams/DTC/1929.html,31,44,,19,16,9,63,,,,1.37,10,2750,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1929,NYA,/teams/NYA/1929.html,31,1,,1,0,0,3,,,,3.00,0,60,,,,,,0,0,0,0
Charlie Gardiner,/players/g/gardich01.html,1929,CBH,/teams/CBH/1929.html,24,44,,7,29,8,85,,,,1.85,5,2758,,,,,,0,0,0,2
Benny Grant,/players/g/grantbe01.html,1929,TOR,/teams/TOR/1929.html,20,5,,1,1,0,4,,,,1.54,0,156,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1929,MTL,/teams/MTL/1929.html,33,44,,22,7,15,43,,,,0.92,22,2800,,,,,,0,0,0,0
Normie Himes,/players/h/himesno01.html,1929,NYA,/teams/NYA/1929.html,25,1,,0,1,0,3,,,,3.00,0,60,,,,,,10,0,10,25
Red Horner,/players/h/hornere01.html,1929,TOR,/teams/TOR/1929.html,19,1,,0,0,0,0,,,,0.00,0,2,,,,,,0,0,0,30
Joe Miller,/players/m/millejo01.html,1929,PTP,/teams/PTP/1929.html,28,44,,9,27,8,80,,,,1.73,11,2780,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1929,NYR,/teams/NYR/1929.html,28,44,,21,13,10,65,,,,1.41,13,2760,,,,,,0,0,0,0
Tiny Thompson,/players/t/thompti01.html,1929,BOS,/teams/BOS/1929.html,25,44,,26,13,5,52,,,,1.15,12,2710,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1929,,,31,11,,3,4,4,9,,,,0.76,4,710,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1929,NYA,/teams/NYA/1929.html,28,38,,16,12,10,46,,,,1.15,13,2390,,,,,,0,0,0,0
Clint Benedict,/players/b/benedcl01.html,1930,MTM,/teams/MTM/1930.html,37,14,,6,6,1,38,,,,3.03,0,752,,,,,,0,0,0,0
Bill Beveridge,/players/b/beverbi01.html,1930,DTC,/teams/DTC/1930.html,20,39,,14,20,5,109,,,,2.71,2,2410,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1930,TOR,/teams/TOR/1930.html,29,42,,16,20,6,113,,,,2.59,6,2620,,,,,,0,0,0,0
Alec Connell,/players/c/conneal01.html,1930,OTS,/teams/OTS/1930.html,27,44,,21,15,8,118,,,,2.55,3,2780,,,,,,0,0,0,0
Abbie Cox,/players/c/coxab01.html,1930,MTM,/teams/MTM/1930.html,25,1,,1,0,0,2,,,,2.00,0,60,,,,,,0,0,0,0
Dolly Dolson,/players/d/dolsodo01.html,1930,DTC,/teams/DTC/1930.html,32,5,,0,4,1,24,,,,4.50,0,320,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1930,NYA,/teams/NYA/1930.html,32,1,,0,0,1,1,,,,0.86,0,70,,,,,,0,0,0,0
Charlie Gardiner,/players/g/gardich01.html,1930,CBH,/teams/CBH/1930.html,25,44,,21,18,5,111,,,,2.42,3,2750,,,,,,0,0,0,0
Benny Grant,/players/g/grantbe01.html,1930,,,21,9,,4,5,0,36,,,,3.93,0,550,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1930,MTL,/teams/MTL/1930.html,34,42,,20,13,9,108,,,,2.42,4,2680,,,,,,0,0,0,0
Joe Miller,/players/m/millejo01.html,1930,PTP,/teams/PTP/1930.html,29,43,,5,35,3,179,,,,4.08,0,2630,,,,,,0,0,0,0
Mickey Murray,/players/m/murrami01.html,1930,MTL,/teams/MTL/1930.html,31,1,,0,1,0,4,,,,4.00,0,60,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1930,NYR,/teams/NYR/1930.html,29,44,,17,17,10,143,,,,3.10,1,2770,,,,,,0,0,0,0
Red Spooner,/players/s/spoonre01.html,1930,PTP,/teams/PTP/1930.html,19,1,,0,1,0,6,,,,6.00,0,60,,,,,,0,0,0,0
Tiny Thompson,/players/t/thompti01.html,1930,BOS,/teams/BOS/1930.html,26,44,,38,5,1,98,,,,2.19,3,2680,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1930,MTM,/teams/MTM/1930.html,32,30,,16,10,4,74,,,,2.34,2,1897,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1930,,,29,37,,12,21,4,137,,,,3.53,2,2330,,,,,,0,0,0,0
Bill Beveridge,/players/b/beverbi01.html,1931,OTS,/teams/OTS/1931.html,21,9,,0,8,0,32,,,,3.69,0,520,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1931,TOR,/teams/TOR/1931.html,30,37,,21,8,8,80,,,,2.09,6,2300,,,,,,0,0,0,0
Alec Connell,/players/c/conneal01.html,1931,OTS,/teams/OTS/1931.html,28,36,,10,22,4,110,,,,3.01,3,2190,,,,,,0,0,0,0
Wilf Cude,/players/c/cudewi01.html,1931,PHQ,/teams/PHQ/1931.html,20,30,,2,25,3,130,,,,4.22,1,1850,,,,,,0,0,0,0
Dolly Dolson,/players/d/dolsodo01.html,1931,DTF,/teams/DTF/1931.html,33,44,,16,21,7,105,,,,2.29,6,2750,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1931,PHQ,/teams/PHQ/1931.html,33,2,,0,2,0,7,,,,3.50,0,120,,,,,,0,0,0,0
Charlie Gardiner,/players/g/gardich01.html,1931,CBH,/teams/CBH/1931.html,26,44,,24,17,3,78,,,,1.73,12,2710,,,,,,0,0,0,0
Benny Grant,/players/g/grantbe01.html,1931,TOR,/teams/TOR/1931.html,22,7,,1,5,1,19,,,,2.65,2,430,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1931,MTL,/teams/MTL/1931.html,35,44,,26,10,8,89,,,,1.95,8,2740,,,,,,0,0,0,0
Dave Kerr,/players/k/kerrda01.html,1931,MTM,/teams/MTM/1931.html,21,29,,13,11,4,70,,,,2.37,1,1769,,,,,,0,0,0,0
Joe Miller,/players/m/millejo01.html,1931,PHQ,/teams/PHQ/1931.html,30,12,,2,9,1,47,,,,3.81,0,740,,,,,,0,0,0,0
John Ross Roach,/players/r/roachjo01.html,1931,NYR,/teams/NYR/1931.html,30,44,,19,16,9,87,,,,1.89,7,2760,,,,,,0,0,0,0
Tiny Thompson,/players/t/thompti01.html,1931,BOS,/teams/BOS/1931.html,27,44,,28,10,6,90,,,,1.98,3,2730,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1931,MTM,/teams/MTM/1931.html,33,16,,7,7,2,36,,,,2.25,2,961,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1931,NYA,/teams/NYA/1931.html,30,44,,18,16,10,74,,,,1.61,8,2760,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1932,TOR,/teams/TOR/1932.html,31,44,,22,16,6,106,,,,2.36,4,2698,,,,,,0,0,0,2
King Clancy,/players/c/clancki01.html,1932,TOR,/teams/TOR/1932.html,28,1,,0,0,0,1,,,,60.00,0,1,,,,,,10,9,19,61
Alec Connell,/players/c/conneal01.html,1932,DTF,/teams/DTF/1932.html,29,48,,18,20,10,108,,,,2.12,6,3050,,,,,,0,0,0,0
Wilf Cude,/players/c/cudewi01.html,1932,,,21,3,,1,1,0,15,,,,5.59,1,161,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1932,NYA,/teams/NYA/1932.html,34,6,,3,3,0,16,,,,2.67,0,360,,,,,,0,0,0,0
Charlie Gardiner,/players/g/gardich01.html,1932,CBH,/teams/CBH/1932.html,27,48,,18,19,11,92,,,,1.85,4,2989,,,,,,0,0,0,0
Benny Grant,/players/g/grantbe01.html,1932,TOR,/teams/TOR/1932.html,23,5,,1,2,1,18,,,,3.38,1,320,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1932,MTL,/teams/MTL/1932.html,36,48,,25,16,7,110,,,,2.20,6,2998,,,,,,0,0,0,2
Red Horner,/players/h/hornere01.html,1932,TOR,/teams/TOR/1932.html,22,1,,0,0,0,1,,,,60.00,0,1,,,,,,7,9,16,97
Percy Jackson,/players/j/jackspe01.html,1932,BOS,/teams/BOS/1932.html,24,4,,1,1,1,8,,,,2.07,0,232,,,,,,0,0,0,0
Dave Kerr,/players/k/kerrda01.html,1932,NYA,/teams/NYA/1932.html,22,1,,0,1,0,6,,,,6.00,0,60,,,,,,0,0,0,0
Albert Leduc,/players/l/leducal01.html,1932,MTL,/teams/MTL/1932.html,29,1,,0,0,0,1,,,,30.00,0,2,,,,,,5,3,8,60
Alex Levinsky,/players/l/levinal01.html,1932,TOR,/teams/TOR/1932.html,21,1,,0,0,0,1,,,,60.00,0,1,,,,,,5,5,10,29
John Ross Roach,/players/r/roachjo01.html,1932,NYR,/teams/NYR/1932.html,31,48,,23,17,8,112,,,,2.23,9,3020,,,,,,0,0,0,0
Moe Roberts,/players/r/robermo01.html,1932,NYA,/teams/NYA/1932.html,26,1,,1,0,0,1,,,,1.00,0,60,,,,,,0,0,0,0
Al Shields,/players/s/shielal01.html,1932,NYA,/teams/NYA/1932.html,24,2,,0,0,0,9,,,,13.17,0,41,,,,,,4,1,5,45
Normie Smith,/players/s/smithno01.html,1932,MTM,/teams/MTM/1932.html,23,21,,5,12,4,62,,,,2.94,0,1267,,,,,,0,0,0,0
Harold Starr,/players/s/starrha01.html,1932,MTM,/teams/MTM/1932.html,25,1,,0,0,0,0,,,,0.00,0,3,,,,,,1,2,3,47
Tiny Thompson,/players/t/thompti01.html,1932,BOS,/teams/BOS/1932.html,28,43,,13,19,11,103,,,,2.29,9,2698,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1932,MTM,/teams/MTM/1932.html,34,27,,14,10,3,77,,,,2.77,2,1670,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1932,NYA,/teams/NYA/1932.html,31,40,,12,20,8,110,,,,2.68,5,2459,,,,,,0,0,0,0
Andy Aitkenhead,/players/a/aitkean01.html,1933,NYR,/teams/NYR/1933.html,28,48,,23,17,8,107,,,,2.16,3,2970,,,,,,0,0,0,0
Bill Beveridge,/players/b/beverbi01.html,1933,OTS,/teams/OTS/1933.html,23,35,,7,19,8,95,,,,2.60,5,2195,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1933,TOR,/teams/TOR/1933.html,32,48,,24,18,6,111,,,,2.26,5,2946,,,,,,0,0,0,4
Charlie Conacher,/players/c/conacch01.html,1933,TOR,/teams/TOR/1933.html,23,2,,0,0,0,0,,,,0.00,0,4,,,,,,14,19,33,64
Alec Connell,/players/c/conneal01.html,1933,OTS,/teams/OTS/1933.html,30,15,,4,8,2,36,,,,2.56,1,845,,,,,,0,0,0,0
Jake Forbes,/players/f/forbeja01.html,1933,NYA,/teams/NYA/1933.html,35,1,,0,0,1,2,,,,1.71,0,70,,,,,,0,0,0,0
Charlie Gardiner,/players/g/gardich01.html,1933,CBH,/teams/CBH/1933.html,28,48,,16,20,12,101,,,,2.01,5,3010,,,,,,0,0,0,0
George Hainsworth,/players/h/hainsge01.html,1933,MTL,/teams/MTL/1933.html,37,48,,18,25,5,115,,,,2.32,8,2980,,,,,,0,0,0,0
Dave Kerr,/players/k/kerrda01.html,1933,MTM,/teams/MTM/1933.html,23,25,,14,8,3,58,,,,2.29,4,1520,,,,,,0,0,0,0
Hugh Plaxton,/players/p/plaxthu01.html,1933,MTM,/teams/MTM/1933.html,28,1,,0,1,0,5,,,,5.26,0,57,,,,,,1,2,3,4
John Ross Roach,/players/r/roachjo01.html,1933,DET,/teams/DET/1933.html,32,48,,25,15,8,93,,,,1.88,10,2970,,,,,,0,0,0,0
Tiny Thompson,/players/t/thompti01.html,1933,BOS,/teams/BOS/1933.html,29,48,,25,15,8,88,,,,1.76,11,3000,,,,,,0,0,0,0
Flat Walsh,/players/w/walshfl01.html,1933,MTM,/teams/MTM/1933.html,35,22,,8,11,3,56,,,,2.58,2,1303,,,,,,0,0,0,0
Roy Worters,/players/w/wortero01.html,1933,NYA,/teams/NYA/1933.html,32,47,,15,22,10,116,,,,2.34,5,2970,,,,,,0,0,0,0
Andy Aitkenhead,/players/a/aitkean01.html,1934,NYR,/teams/NYR/1934.html,29,48,,21,19,8,113,,,,2.27,7,2990,,,,,,0,0,0,0
Bill Beveridge,/players/b/beverbi01.html,1934,OTS,/teams/OTS/1934.html,24,48,,13,29,6,143,,,,2.86,3,3000,,,,,,0,0,0,0
Lorne Chabot,/players/c/chabolo01.html,1934,MTL,/teams/MTL/1934.html,33,47,,21,20,6,101,,,,2.07,8,2928,,,,,,0,0,0,2
Alec Connell,/players/c/conneal01.html,1934,NYA,/teams/NYA/1934.html,31,1,,1,0,0,2,,,,3.00,0,40,,,,,,0,0,0,0
