"name","gp","g","a","hits","blocks","ppp","shg","sog","fow"
"John Ramage","26"," 1.218"," 4.56"," 14.7"," 75.49"," 1.0559"," 1.0e-01"," 24.2","  0.0"
"Nate Guenin","40"," 1.670"," 5.58"," 36.4"," 50.04"," 1.1892"," 4.1e-02"," 33.1","  0.0"
"Derek Grant","34"," 3.179"," 2.85"," 55.0"," 21.20"," 0.0728"," 1.5e-01"," 43.6","134.7"
"Colin McDonald","37"," 2.731"," 3.68","109.0"," 12.36"," 0.2370"," 1.8e-02"," 24.3","  0.0"
"Travis Moen","47"," 3.223"," 2.29"," 64.9"," 25.12","-1.0893"," 1.3e-01"," 27.5"," 11.8"
"Josh Anderson","32"," 2.381"," 3.91"," 99.9"," 12.66"," 0.2739"," 6.7e-02"," 30.8","  0.0"
"Rob Scuderi","52"," 0.859"," 5.94"," 38.9"," 63.01"," 0.3594","-6.6e-03"," 28.0","  0.0"
"Joel Armia","40"," 3.312"," 4.96"," 66.2"," 17.86"," 0.6368"," 9.3e-02"," 40.0","  0.0"
"Bobby Farnham","42"," 3.838"," 3.52"," 77.1"," 15.99","-0.2260"," 1.0e-01"," 36.5","  6.2"
"Michael Mersch","36"," 3.591"," 3.73"," 54.0"," 18.34"," 0.1353"," 1.1e-01"," 45.8","  6.2"
"Quinton Howden","51"," 3.678"," 4.44"," 98.8"," 11.71","-0.5663"," 6.2e-02"," 46.4","  8.4"
"Chris Butler","36"," 1.382"," 4.99"," 32.5"," 55.08"," 1.0126"," 6.3e-02"," 30.9","  0.0"
"Jared Boll","49"," 1.889"," 2.64"," 89.4"," 25.18","-1.4967"," 7.5e-02"," 23.5","  8.3"
"Dylan Olsen","39"," 1.735"," 5.14"," 42.8"," 39.46"," 1.1212"," 5.0e-02"," 37.8","  0.0"
"Viktor Svedberg","41"," 2.303"," 5.04"," 24.5"," 43.68"," 0.6429"," 3.7e-02"," 55.5","  0.0"
"Dylan DeMelo","48"," 1.194"," 5.93"," 43.5"," 40.86"," 1.5457","-5.5e-02"," 45.8","  0.0"
