"name","gp","g","a","hits","blocks","ppp","shg","sog","fow"
"Tim Jackman","30"," 2.034"," 1.92"," 32.6"," 11.77"," 0.0384"," 5.9e-02"," 22.6","  0.0"
"Joakim Andersson","41"," 1.574"," 3.15"," 32.9"," 12.60","-0.9205"," 4.7e-02"," 25.2"," 64.6"
"Brandon Gormley","30"," 0.181"," 1.85"," 28.8"," 27.93","-0.2903","-1.4e-02"," 13.9","  0.0"
"Curtis McKenzie","23"," 1.753"," 1.64"," 34.6","  7.86","-0.0288"," 1.4e-02"," 17.8","  0.0"
"Emile Poirier","19"," 1.314"," 1.53"," 38.1","  9.15"," 0.0261"," 4.0e-03"," 13.2","  0.0"
"Eric Tangradi","23"," 1.482"," 1.69"," 27.1","  9.13"," 0.1536"," 5.2e-02"," 16.4","  0.0"
"Marek Hrivik","24"," 1.765"," 2.30"," 29.1","  4.73","-0.0951"," 2.4e-02"," 14.6"," 16.5"
"Tyler Graovac","24"," 1.763"," 2.74"," 12.4","  8.69"," 0.4810"," 1.1e-01"," 16.5","132.4"
"Eric Selleck","18"," 0.957"," 0.94"," 47.8","  5.82","-0.0396"," 1.6e-02"," 11.0","  0.0"
"Brian O'Neill","31"," 1.505"," 1.70"," 49.8"," 11.67","-0.6487"," 2.4e-02"," 18.9","  6.3"
"Stanislav Galiev","29"," 3.380"," 2.56"," 25.8","  5.94"," 0.0746"," 5.5e-05"," 30.0","  0.0"
"Michael Paliotta","20"," 1.074"," 3.64","  7.7"," 15.48"," 1.0457"," 8.7e-03"," 16.9","  0.0"
"Brent Regner","22"," 0.675"," 2.47"," 16.4"," 21.94"," 0.3615","-1.7e-02"," 15.9","  0.0"
"Mirco Mueller","26"," 0.972"," 3.07"," 14.7"," 14.52"," 0.5842","-1.4e-02"," 20.6","  0.0"
"Brody Sutter","22"," 1.196"," 1.54"," 48.7","  8.64"," 0.0222"," 4.6e-02"," 14.3"," 27.2"
"Oliver Kylington","23"," 1.069"," 2.99","  8.4"," 15.70"," 0.8310"," 5.8e-03"," 18.8","  0.0"
"Seth Griffith","30"," 1.724"," 4.56"," 25.1"," 10.32"," 2.6161","-6.5e-02"," 16.9","  0.0"
"Cody Bass","25"," 1.658"," 2.27"," 38.4"," 10.49"," 0.0686"," 3.0e-02"," 18.3"," 19.0"
"Alex Grant","21"," 0.513"," 2.17"," 30.5"," 12.15"," 0.3121","-3.0e-02"," 14.3","  0.0"
"Kevin Gravel","21"," 0.607"," 2.31"," 19.8"," 18.11"," 0.3364","-2.1e-02"," 15.0","  0.0"
"Stefan Noesen","19"," 1.175"," 0.87"," 47.5","  7.71","-0.0518"," 1.7e-02"," 12.4","  0.0"
"Max Friberg","19"," 1.259"," 1.49"," 29.3","  7.15"," 0.0622"," 8.6e-03"," 12.6","  0.0"
"Rinat Valiev","23"," 0.588"," 2.39"," 23.4"," 12.91"," 0.3448","-3.4e-02"," 15.5","  0.0"
"Andrew Miller","19"," 1.678"," 2.14"," 12.8","  6.70"," 0.2961"," 5.6e-02"," 14.0"," 35.8"
"John McCarthy","21"," 1.927"," 2.10","  8.0","  9.65"," 0.4464"," 3.5e-02"," 17.5","  0.0"
"Trevor Carrick","20"," 0.616"," 2.25"," 13.7"," 19.86"," 0.3287","-1.6e-02"," 14.5","  0.0"
"Sergei Tolchinsky","23"," 1.590"," 4.49","  9.3","  6.57"," 0.8584"," 8.9e-03"," 10.6","  0.0"
"Matt Taormina","20"," 0.635"," 2.29"," 11.1"," 20.06"," 0.3354","-1.7e-02"," 14.7","  0.0"
"Christoph Bertschy","19"," 1.034"," 1.52"," 43.5"," 11.36","-0.0088"," 2.6e-03"," 13.6","  0.0"
"Ryan Johnston","20"," 0.567"," 2.18"," 16.6"," 15.19"," 0.3164","-2.4e-02"," 14.0","  0.0"
"Tye McGinn","26"," 2.326"," 2.29"," 11.3","  1.49"," 0.5704"," 7.4e-02"," 21.8","  0.0"
"Justin Bailey","20"," 1.494"," 1.60"," 22.6"," 12.26"," 0.0202"," 7.5e-03"," 14.8","  0.0"
"Borna Rendulic","19"," 1.467"," 1.84"," 14.1"," 15.10"," 0.0995"," 1.9e-02"," 14.1","  0.0"
"Chandler Stephenson","23"," 1.684"," 2.44"," 16.9","  9.01"," 0.1517"," 4.4e-02"," 17.0"," 73.6"
"Josh Archibald","18"," 1.337"," 1.45"," 19.7"," 14.00"," 0.0263"," 1.2e-02"," 13.3","  0.0"
"Joe Vitale","28"," 1.245"," 2.05"," 31.2"," 12.07","-0.0043"," 1.4e-02"," 18.4","  0.0"
"Nic Dowd","22"," 1.269"," 1.96"," 23.6","  6.77"," 0.1207"," 5.9e-02"," 14.0"," 75.6"
"Daniel Catenacci","22"," 1.390"," 1.86"," 43.0","  4.79"," 0.0268"," 1.6e-02"," 15.8","  6.3"
"Morgan Ellis","20"," 0.579"," 2.18"," 11.0"," 14.87"," 0.3168","-2.5e-02"," 13.9","  0.0"
"Anton Slepyshev","25"," 1.392"," 1.05"," 30.3","  2.74","-0.6488"," 6.6e-03"," 11.5","  5.1"
"Sean Collins","22"," 1.538"," 2.88"," 15.4"," 12.01"," 0.6469"," 5.3e-02"," 17.6","  0.0"
"Kenny Agostino","17"," 0.989"," 1.02"," 23.7","  5.17","-0.0153"," 1.1e-02"," 10.7","  0.0"
"Cole Schneider","17"," 0.989"," 1.02"," 23.7","  5.17","-0.0153"," 1.1e-02"," 10.7","  0.0"
"Alex Grenier","19"," 1.625"," 1.67"," 18.4","  7.95"," 0.0569"," 2.5e-02"," 14.7","  5.2"
"Mark McNeill","18"," 0.666"," 1.07"," 48.4","  6.27","-0.0428"," 9.8e-03"," 10.8","  0.0"
"Brett Kulak","20"," 0.525"," 2.27"," 11.5"," 11.70"," 0.3475","-2.8e-02"," 13.5","  0.0"
"Taylor Leier","18"," 1.379"," 1.47"," 10.7","  7.67"," 0.0199","-1.0e-03"," 13.4","  0.0"
"Gustav Olofsson","19"," 0.234"," 1.73"," 17.8","  9.77"," 0.2736","-1.6e-02"," 11.3","  0.0"
"Brett Lernout","19"," 0.229"," 1.69"," 17.4","  9.56"," 0.2676","-1.6e-02"," 11.0","  0.0"
"Kyle Baun","18"," 0.986"," 1.34"," 28.3","  6.03"," 0.1508"," 3.2e-02"," 10.7","  0.0"
"Michael Matheson","19"," 0.526"," 2.06"," 11.0","  9.85"," 0.2986","-3.2e-02"," 13.1","  0.0"
"Chris Brown","19"," 0.950"," 1.27"," 36.1","  8.12","-0.0294"," 1.4e-02"," 12.3","  0.0"
"Brendan Woods","18"," 1.054"," 1.24"," 12.7","  5.83"," 0.0731"," 1.9e-02"," 10.8","  0.0"
"Paul Thompson","17"," 1.014"," 1.06"," 16.5","  5.05","-0.0079"," 9.6e-03"," 10.7","  0.0"
"Marc-Andre Gragnani","19"," 0.527"," 2.08","  9.8","  8.76"," 0.3007","-3.5e-02"," 13.2","  0.0"
"Patrice Cormier","20"," 1.220"," 2.13"," 15.5","  8.23"," 0.2734"," 6.5e-02"," 13.8"," 33.0"
"Michael Keranen","16"," 0.965"," 1.01"," 15.7","  4.80","-0.0075"," 9.1e-03"," 10.2","  0.0"
"Miles Wood","16"," 0.965"," 1.01"," 15.7","  4.80","-0.0075"," 9.1e-03"," 10.2","  0.0"
"Jeremy Welsh","18"," 0.954"," 1.37"," 32.6","  5.92"," 0.0228"," 3.2e-02"," 11.9"," 10.7"
"Jordan Weal","23"," 1.670"," 2.36"," 13.9","  3.96"," 0.1191"," 2.7e-02"," 17.0"," 54.2"
"Joel Vermin","23"," 1.138"," 1.60"," 23.3","  6.55","-0.4639"," 8.4e-04","  6.1","  6.2"
"Sam Carrick","19"," 1.057"," 1.39"," 24.8","  6.80","-0.0412"," 3.8e-02"," 13.5"," 12.8"
"Kasperi Kapanen","20"," 1.394"," 1.43"," 24.6","  2.74","-0.0067","-8.5e-03"," 13.7","  0.0"
"Nikolay Goldobin","33"," 3.063"," 3.33"," 11.7"," -5.86"," 0.2674"," 2.5e-02"," 28.0","  0.0"
"Kurtis Gabriel","18"," 1.014"," 1.05"," 21.6","  5.21","-0.0130"," 1.1e-02"," 10.9","  0.0"
"Dominik Simon","23"," 1.434"," 3.56"," 12.1","  7.33"," 0.3882","-1.2e-02"," 14.8","  0.0"
"Vincent Hinostroza","20"," 1.460"," 2.05"," 10.9","  5.58"," 0.0982"," 2.4e-02"," 15.1"," 37.5"
"Chase De Leo","18"," 0.959"," 1.38"," 24.4","  5.66"," 0.0298"," 3.0e-02"," 11.7"," 10.4"
"Tomas Nosek","19"," 1.065"," 1.54"," 18.3","  5.96"," 0.0438"," 3.2e-02"," 12.6"," 14.2"
"Brett Bulmer","17"," 1.014"," 1.07"," 11.5","  4.89","-0.0030"," 8.5e-03"," 10.6","  0.0"
"Kyle Rau","20"," 1.129"," 1.66"," 14.0","  6.24"," 0.0096","-1.2e-02"," 13.7","  0.0"
"Ryan Carpenter","16"," 0.705"," 1.13"," 16.2","  5.21","-0.0104"," 3.4e-03"," 10.0","  0.0"
"Alex Friesen","16"," 0.705"," 1.13"," 16.2","  5.21","-0.0104"," 3.4e-03"," 10.0","  0.0"
"Alexander Khokhlachev","18"," 0.827"," 1.48"," 14.8","  5.39","-0.0691","-1.7e-02"," 10.8","  0.0"
"Devin Shore","17"," 0.746"," 1.19"," 12.1","  5.30","-0.0059"," 2.6e-03"," 10.4","  0.0"
"Bud Holloway","20"," 1.173"," 1.72","  4.9"," -0.28"," 0.3810"," 2.3e-02"," 13.7","  0.0"
